method,query_id,doc_id,latency_ms
laya-score,PLAIN-2,MED-14,898.73
laya-score,PLAIN-2,MED-2429,578.58
laya-score,PLAIN-2,MED-10,651.02
laya-score,PLAIN-2,MED-2428,644.22
laya-score,PLAIN-2,MED-1193,761.29
laya-score,PLAIN-2,MED-2431,676.62
laya-score,PLAIN-2,MED-4827,688.13
laya-score,PLAIN-2,MED-4830,613.21
laya-score,PLAIN-2,MED-2427,685.96
laya-score,PLAIN-2,MED-4829,706.92
laya-score,PLAIN-2,MED-4650,637.6
laya-score,PLAIN-2,MED-4562,684.98
laya-score,PLAIN-2,MED-2434,745.09
laya-score,PLAIN-2,MED-2792,616.52
laya-score,PLAIN-2,MED-1555,501.61
laya-score,PLAIN-2,MED-4450,676.15
laya-score,PLAIN-2,MED-3832,669.44
laya-score,PLAIN-2,MED-3845,647.98
laya-score,PLAIN-2,MED-2439,574.7
laya-score,PLAIN-2,MED-3830,701.23
laya-score,PLAIN-12,MED-4711,722.83
laya-score,PLAIN-12,MED-2501,456.91
laya-score,PLAIN-12,MED-4698,622.24
laya-score,PLAIN-12,MED-2333,646.5
laya-score,PLAIN-12,MED-4884,725.51
laya-score,PLAIN-12,MED-5042,604.92
laya-score,PLAIN-12,MED-2136,650.23
laya-score,PLAIN-12,MED-2603,632.08
laya-score,PLAIN-12,MED-1376,695.77
laya-score,PLAIN-12,MED-2815,702.34
laya-score,PLAIN-12,MED-1923,631.35
laya-score,PLAIN-12,MED-4695,642.16
laya-score,PLAIN-12,MED-1167,626.32
laya-score,PLAIN-12,MED-1190,781.75
laya-score,PLAIN-12,MED-4643,648.89
laya-score,PLAIN-12,MED-1702,716.28
laya-score,PLAIN-12,MED-3001,691.84
laya-score,PLAIN-12,MED-2052,708.58
laya-score,PLAIN-12,MED-3678,722.56
laya-score,PLAIN-12,MED-3243,744.01
laya-score,PLAIN-23,MED-1221,790.48
laya-score,PLAIN-23,MED-2643,752.37
laya-score,PLAIN-23,MED-2658,775.46
laya-score,PLAIN-23,MED-2650,775.59
laya-score,PLAIN-23,MED-2718,721.0
laya-score,PLAIN-23,MED-4429,788.81
laya-score,PLAIN-23,MED-4451,801.65
laya-score,PLAIN-23,MED-2493,681.17
laya-score,PLAIN-23,MED-2494,818.4
laya-score,PLAIN-23,MED-2661,956.16
laya-score,PLAIN-23,MED-2652,793.55
laya-score,PLAIN-23,MED-2292,851.81
laya-score,PLAIN-23,MED-1174,850.89
